,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43
108,3,4,3,2,0,4,3,3,2,1,2,0,0,2,4,4,3,1,3,0,0,0,3,3,0,2,4,1,1,4,3,4,4,1,2,2,3,0,1,3,3,4
306,1,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,0,1,0,0,1,0,0,2,0,1,0,0,1,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,1,1,0,1,0
263,4,4,2,0,1,1,0,0,4,4,2,1,3,4,4,1,4,1,2,4,4,4,2,0,4,2,1,2,3,1,4,0,2,1,1,2,0,4,2,0,1,3
316,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
196,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
285,0,0,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1
356,2,1,1,0,2,1,1,0,1,1,1,1,1,1,2,2,1,2,2,0,0,1,2,1,2,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1
28,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1
352,1,0,0,0,0,2,0,2,1,1,2,0,0,1,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
